Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.98354866567028 40.7342607222948,-73.98311380691572 40.73483804703573",2 AVENUE,EAST   17 STREET,EAST   18 STREET,242.42
"-73.98354866567028 40.7342607222948,-73.98311380691572 40.73483804703573",2 AVENUE,EAST   17 STREET,EAST   18 STREET,242.42
"-73.98311380691572 40.73483804703573,-73.98269552208893 40.73543160063286",2 AVENUE,EAST   18 STREET,EAST   19 STREET,245.36
"-73.98311380691572 40.73483804703573,-73.98269552208893 40.73543160063286",2 AVENUE,EAST   18 STREET,EAST   19 STREET,245.36
"-73.98269552208893 40.73543160063286,-73.9822671696544 40.73601973726028",2 AVENUE,EAST   19 STREET,EAST   20 STREET,244.96
"-73.98269552208893 40.73543160063286,-73.9822671696544 40.73601973726028",2 AVENUE,EAST   19 STREET,EAST   20 STREET,244.96
"-73.9822671696544 40.73601973726028,-73.98184100004354 40.736602677562765",2 AVENUE,EAST   20 STREET,EAST   21 STREET,243.01
"-73.9822671696544 40.73601973726028,-73.98184100004354 40.736602677562765",2 AVENUE,EAST   20 STREET,EAST   21 STREET,243.01
"-73.98184100004354 40.736602677562765,-73.98139204563964 40.737222119141435",2 AVENUE,EAST   21 STREET,EAST   22 STREET,257.71
"-73.98184100004354 40.736602677562765,-73.98139204563964 40.737222119141435",2 AVENUE,EAST   21 STREET,EAST   22 STREET,257.71
"-73.98139204563964 40.737222119141435,-73.98090534075243 40.73788616380806",2 AVENUE,EAST   22 STREET,EAST   23 STREET,276.99
"-73.98139204563964 40.737222119141435,-73.98090534075243 40.73788616380806",2 AVENUE,EAST   22 STREET,EAST   23 STREET,276.99
"-73.98090534075243 40.73788616380806,-73.98041833009334 40.73855053048836",2 AVENUE,EAST   23 STREET,EAST   24 STREET,277.13
"-73.98090534075243 40.73788616380806,-73.98041833009334 40.73855053048836",2 AVENUE,EAST   23 STREET,EAST   24 STREET,277.13
"-73.98041833009334 40.73855053048836,-73.97996739757008 40.73916829106881",2 AVENUE,EAST   24 STREET,EAST   25 STREET,257.43
"-73.98041833009334 40.73855053048836,-73.97996739757008 40.73916829106881",2 AVENUE,EAST   24 STREET,EAST   25 STREET,257.43
"-73.97996739757008 40.73916829106881,-73.97950261314755 40.73978194555633",2 AVENUE,EAST   25 STREET,EAST   26 STREET,258.02
"-73.97996739757008 40.73916829106881,-73.97950261314755 40.73978194555633",2 AVENUE,EAST   25 STREET,EAST   26 STREET,258.02
"-73.97950261314755 40.73978194555633,-73.97907686452608 40.74039375017031",2 AVENUE,EAST   26 STREET,EAST   27 STREET,252.20
"-73.97950261314755 40.73978194555633,-73.97907686452608 40.74039375017031",2 AVENUE,EAST   26 STREET,EAST   27 STREET,252.20
"-73.97861648193141 40.74102185852029,-73.9781681528791 40.741642512864054",2 AVENUE,EAST   28 STREET,EAST   29 STREET,258.01
"-73.97861648193141 40.74102185852029,-73.9781681528791 40.741642512864054",2 AVENUE,EAST   28 STREET,EAST   29 STREET,258.01
"-73.9781681528791 40.741642512864054,-73.97767310002452 40.742258580885505",2 AVENUE,EAST   29 STREET,EAST   30 STREET,263.06
"-73.9781681528791 40.741642512864054,-73.97767310002452 40.742258580885505",2 AVENUE,EAST   29 STREET,EAST   30 STREET,263.06
"-73.9744958771056 40.74668256087509,-73.97404406577601 40.74729522753032",2 AVENUE,EAST   37 STREET,EAST   38 STREET,255.92
"-73.9744958771056 40.74668256087509,-73.97404406577601 40.74729522753032",2 AVENUE,EAST   37 STREET,EAST   38 STREET,255.92
"-73.97404406577601 40.74729522753032,-73.97360737985268 40.74792545480034",2 AVENUE,EAST   38 STREET,EAST   39 STREET,259.54
"-73.97404406577601 40.74729522753032,-73.97360737985268 40.74792545480034",2 AVENUE,EAST   38 STREET,EAST   39 STREET,259.54
