Through,From,To,Distance
3 AVENUE,EAST   45 STREET,EAST   46 STREET,260.85
3 AVENUE,EAST   46 STREET,EAST   47 STREET,260.06
3 AVENUE,EAST   46 STREET,EAST   47 STREET,260.06
3 AVENUE,EAST   47 STREET,EAST   48 STREET,261.28
3 AVENUE,EAST   47 STREET,EAST   48 STREET,261.28
3 AVENUE,EAST   48 STREET,EAST   49 STREET,260.52
3 AVENUE,EAST   48 STREET,EAST   49 STREET,260.52
3 AVENUE,EAST   55 STREET,EAST   56 STREET,261.29
3 AVENUE,EAST   55 STREET,EAST   56 STREET,261.29
3 AVENUE,EAST   56 STREET,EAST   57 STREET,291.34
3 AVENUE,EAST   57 STREET,EAST   58 STREET,280.35
3 AVENUE,EAST   57 STREET,EAST   58 STREET,280.35
3 AVENUE,EAST   58 STREET,EAST   59 STREET,265.92
3 AVENUE,EAST   60 STREET,EAST   61 STREET,260.73
3 AVENUE,EAST   60 STREET,EAST   61 STREET,260.73
3 AVENUE,EAST   61 STREET,EAST   62 STREET,261.02
3 AVENUE,EAST   61 STREET,EAST   62 STREET,261.02
3 AVENUE,EAST   62 STREET,EAST   63 STREET,260.87
3 AVENUE,EAST   62 STREET,EAST   63 STREET,260.87
3 AVENUE,EAST   63 STREET,EAST   64 STREET,260.58
3 AVENUE,EAST   63 STREET,EAST   64 STREET,260.58
5 AVENUE,EAST   15 STREET,EAST   16 STREET,266.26
5 AVENUE,EAST   16 STREET,EAST   17 STREET,244.59
5 AVENUE,EAST   17 STREET,EAST   18 STREET,244.33
5 AVENUE,EAST   18 STREET,EAST   19 STREET,243.18
5 AVENUE,EAST   19 STREET,EAST   20 STREET,244.09
5 AVENUE,EAST   20 STREET,EAST   21 STREET,244.88
5 AVENUE,EAST   21 STREET,EAST   22 STREET,257.26
5 AVENUE,EAST   22 STREET,EAST   23 STREET,279.23
5 AVENUE,EAST   29 STREET,EAST   30 STREET,258.45
5 AVENUE,EAST   29 STREET,EAST   30 STREET,258.45
5 AVENUE,EAST   30 STREET,EAST   31 STREET,255.60
5 AVENUE,EAST   30 STREET,EAST   31 STREET,255.60
5 AVENUE,EAST   31 STREET,EAST   32 STREET,257.24
5 AVENUE,EAST   31 STREET,EAST   32 STREET,257.24
5 AVENUE,EAST   32 STREET,EAST   33 STREET,258.27
5 AVENUE,EAST   32 STREET,EAST   33 STREET,258.27
5 AVENUE,EAST   33 STREET,EAST   34 STREET,277.32
5 AVENUE,EAST   33 STREET,EAST   34 STREET,277.32
5 AVENUE,EAST   34 STREET,EAST   35 STREET,276.43
5 AVENUE,EAST   34 STREET,EAST   35 STREET,276.43
5 AVENUE,EAST   35 STREET,EAST   36 STREET,259.18
5 AVENUE,EAST   35 STREET,EAST   36 STREET,259.18
5 AVENUE,EAST   36 STREET,EAST   37 STREET,257.17
5 AVENUE,EAST   36 STREET,EAST   37 STREET,257.17
5 AVENUE,EAST   37 STREET,EAST   38 STREET,257.01
5 AVENUE,EAST   38 STREET,EAST   39 STREET,257.35
5 AVENUE,EAST   39 STREET,EAST   40 STREET,258.29
5 AVENUE,EAST   40 STREET,EAST   41 STREET,257.09
5 AVENUE,EAST   41 STREET,EAST   42 STREET,277.65
5 AVENUE,EAST   51 STREET,EAST   52 STREET,259.45
5 AVENUE,EAST   52 STREET,EAST   53 STREET,262.91
5 AVENUE,EAST   53 STREET,EAST   54 STREET,259.32
5 AVENUE,EAST   54 STREET,EAST   55 STREET,261.54
5 AVENUE,EAST   55 STREET,EAST   56 STREET,260.86
5 AVENUE,EAST   56 STREET,EAST   57 STREET,280.33
5 AVENUE,EAST   57 STREET,EAST   58 STREET,288.19
5 AVENUE,EAST   61 STREET,EAST   62 STREET,259.77
5 AVENUE,EAST   61 STREET,EAST   62 STREET,259.77
5 AVENUE,EAST   62 STREET,EAST   63 STREET,262.18
5 AVENUE,EAST   62 STREET,EAST   63 STREET,262.18
5 AVENUE,EAST   63 STREET,EAST   64 STREET,260.09
5 AVENUE,EAST   63 STREET,EAST   64 STREET,260.09
5 AVENUE,EAST   64 STREET,EAST   65 STREET,261.10
5 AVENUE,EAST   64 STREET,EAST   65 STREET,261.10
5 AVENUE,EAST   65 STREET,EAST   66 STREET,259.26
5 AVENUE,EAST   65 STREET,EAST   66 STREET,259.26
5 AVENUE,EAST   66 STREET,EAST   67 STREET,260.78
5 AVENUE,EAST   67 STREET,EAST   68 STREET,262.62
5 AVENUE,EAST   67 STREET,EAST   68 STREET,262.62
5 AVENUE,EAST   68 STREET,EAST   69 STREET,258.33
5 AVENUE,EAST   68 STREET,EAST   69 STREET,258.33
5 AVENUE,EAST   69 STREET,EAST   70 STREET,261.25
