"[266, 267]",193,127,142,259.71
"[267, 268]",193,142,143,257.53
"[267, 268]",193,142,143,257.53
"[268, 269]",193,143,144,257.00
"[268, 269]",193,143,144,257.00
"[269, 270]",193,144,145,255.47
"[269, 270]",193,144,145,255.47
"[270, 271]",193,145,146,257.89
"[270, 271]",193,145,146,257.89
"[271, 272]",193,146,147,259.15
"[271, 272]",193,146,147,259.15
"[273, 272]",193,147,130,511.87
"[273, 274]",193,130,131,277.83
"[273, 274]",193,130,131,277.83
"[275, 276]",193,160,161,260.55
"[276, 277]",193,161,162,261.51
"[258, 278]",193,195,202,261.14
"[258, 278]",193,195,202,261.14
"[278, 279]",193,202,203,262.25
"[278, 279]",193,202,203,262.25
"[279, 280]",193,203,204,261.42
"[279, 280]",193,203,204,261.42
"[280, 281]",193,204,205,262.01
"[280, 281]",193,204,205,262.01
"[281, 282]",193,205,206,281.55
"[281, 282]",193,205,206,281.55
"[282, 283]",193,206,207,282.03
"[282, 283]",193,206,207,282.03
"[283, 284]",193,207,208,261.74
"[283, 284]",193,207,208,261.74
"[284, 285]",193,208,209,261.79
"[284, 285]",193,208,209,261.79
"[285, 286]",193,209,210,261.47
"[285, 286]",193,209,210,261.47
"[286, 259]",193,210,197,262.20
"[286, 259]",193,210,197,262.20
"[261, 287]",193,198,211,260.63
"[261, 287]",193,198,211,260.63
"[287, 288]",193,211,212,262.00
"[287, 288]",193,211,212,262.00
"[288, 289]",193,212,213,284.46
"[288, 289]",193,212,213,284.46
"[289, 290]",193,213,214,278.71
"[289, 290]",193,213,214,278.71
"[290, 291]",193,214,215,264.50
"[290, 291]",193,214,215,264.50
"[292, 291]",193,215,216,260.94
"[292, 291]",193,215,216,260.94
"[293, 292]",193,216,217,259.79
"[293, 292]",193,216,217,259.79
"[293, 294]",193,217,218,267.85
"[293, 294]",193,217,218,267.85
"[294, 295]",193,218,219,236.50
"[294, 295]",193,218,219,236.50
"[295, 296]",193,219,220,267.92
"[295, 296]",193,219,220,267.92
"[296, 297]",193,220,221,261.44
"[296, 297]",193,220,221,261.44
"[297, 298]",193,221,222,259.37
"[297, 298]",193,221,222,259.37
"[298, 299]",193,222,223,279.76
"[298, 299]",193,222,223,279.76
"[299, 300]",193,223,224,280.47
"[299, 300]",193,223,224,280.47
"[300, 301]",193,224,168,260.05
"[300, 301]",193,224,168,260.05
"[301, 302]",193,168,169,260.30
"[301, 302]",193,168,169,260.30
"[303, 302]",193,169,170,259.64
"[303, 302]",193,169,170,259.64
"[304, 303]",193,170,171,260.40
"[304, 303]",193,170,171,260.40
"[304, 305]",193,171,172,259.28
"[304, 305]",193,171,172,259.28
"[306, 305]",193,172,173,259.46
"[306, 305]",193,172,173,259.46
"[307, 306]",193,173,174,260.30
"[307, 306]",193,173,174,260.30
"[308, 307]",193,174,175,259.33
"[308, 307]",193,174,175,259.33
"[308, 309]",193,175,176,280.70
"[309, 310]",193,176,177,279.37
"[310, 311]",193,177,178,260.10
"[310, 311]",193,177,178,260.10
"[311, 312]",193,178,179,260.20
"[311, 312]",193,178,179,260.20
"[312, 313]",193,179,225,260.14
"[312, 313]",193,179,225,260.14
"[314, 315]",226,227,228,88.86
"[316, 317]",226,229,154,286.70
"[318, 319]",226,229,230,340.42
"[315, 316]",226,228,154,263.85
"[320, 321]",226,200,201,258.32
"[320, 321]",226,200,201,258.32
"[321, 322]",226,201,155,277.27
"[321, 322]",226,201,155,277.27
"[323, 322]",226,155,126,272.85
"[323, 322]",226,155,126,272.85
"[323, 324]",226,126,127,258.34
"[323, 324]",226,126,127,258.34
"[324, 325]",226,127,142,263.20
